"geoid10","pop","vap","obama","mccain","TotPop","BlackPop","HispPop","VAP","BlackVAP","HispVAP"
"2519.0_0",15993,12379,647,1522,15993,863,1980,12379,582,1292
"2402.0_0",7799,6084,266,226,7799,2417,1600,6084,1601,1133
"2520.0_0",6347,5698,758,1846,6347,97,304,5698,78,240
"2532.0_0",3808,3134,424,828,3808,41,180,3134,27,134
"2438.0_0",4982,4173,668,842,4982,316,837,4173,199,545
"2521.0_0",8907,7587,644,935,8907,195,1147,7587,153,860
"2396.0_0",12853,8965,640,1027,12853,2368,3860,8965,1468,2511
"2515.0_0",22218,14513,506,641,22218,5911,8800,14513,3417,5482
"2525.0_0",16734,14720,826,1414,16734,197,791,14720,155,564
"2445.0_0",6961,4872,494,574,6961,1147,2578,4872,698,1671
"2443.0_0",6576,4778,617,591,6576,1068,2367,4778,681,1528
"2470.0_0",6416,4828,787,880,6416,1054,2105,4828,750,1411
"2446.0_0",6190,4093,112,164,6190,996,2647,4093,634,1559
"1246.0_0",12289,7734,366,271,12289,1693,9773,7734,1062,6041
"1795.0_0",1061,704,37,184,1061,5,561,704,4,316
"2403.0_0",3906,3059,439,523,3906,1071,746,3059,714,502
"2425.0_0",3804,2773,505,300,3804,1996,699,2773,1362,465
"2469.0_0",3124,2586,389,473,3124,426,416,2586,318,300
"2412.0_0",3470,2528,598,111,3470,2572,347,2528,1831,207
"2418.0_0",1681,1196,348,18,1681,1600,66,1196,1140,42
"2478.0_0",8311,6605,672,1377,8311,536,1115,6605,375,765
"2435.0_1",3626,2454,637,99,3626,2649,552,2454,1717,357
"2535.0_0",1496,1124,192,454,1496,11,68,1124,8,42
"2465.0_0",5534,3850,438.36,391.9,5534,941,3425,3850,641,2179
"2481.0_1",957,688,121.88,43.67,957,184,558,688,147,363
